38,Академия на Министерството на вътрешните работи - София,3.6,Право,Наказателен процес,програмна акредитация - докторска програма,дава акредитация,9.27,23.6.2022
39,Академия на Министерството на вътрешните работи - София,3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,9.23,23.6.2022
40,Академия на Министерството на вътрешните работи - София,5.7,"Архитектура, строителство и геодезия",Защита на населението и народното стопанство в критични ситуации,програмна акредитация - докторска програма,дава акредитация,9.13,15.9.2023
41,Академия на Министерството на вътрешните работи - София,5.7,"Архитектура, строителство и геодезия",Техника на безопасността на труда и противопожарна техника,програмна акредитация - докторска програма,дава акредитация,9.22,15.9.2023
42,Академия на Министерството на вътрешните работи - София,9.1,Национална сигурност,Организация и управление извън сферата на материалното производство (национална сигурност),програмна акредитация - докторска програма,дава акредитация,9.47,10.3.2022
43,Бургаски свободен университет,1.2,Педагогика,Предучилищна и начална училищна педагогика,програмна акредитация - докторска програма,дава акредитация,8.71,12.6.2023
44,Бургаски свободен университет,3.2,Психология,Педагогическа и възрастова психология,програмна акредитация - докторска програма,дава акредитация,8.68,8.11.2022
45,Бургаски свободен университет,3.2,Психология,Социална психология,програмна акредитация - докторска програма,дава акредитация,8.58,8.11.2022
46,Бургаски свободен университет,3.4,Социални дейности,Организация и управление на социалните дейности,програмна акредитация - докторска програма,дава акредитация,9.32,18.12.2019
47,Бургаски свободен университет,3.6,Право,Граждански процес,програмна акредитация - докторска програма,дава акредитация,8.44,17.9.2020
48,Бургаски свободен университет,3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,8.51,17.9.2020
49,Бургаски свободен университет,3.8,Икономика,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,8.62,10.2.2021
50,Бургаски свободен университет,4.6,Информатика и компютърни науки,Информатика,програмна акредитация - докторска програма,дава акредитация,9.17,7.6.2018
51,Бургаски свободен университет,5.2,"Електротехника, електроника и автоматика",Инженеринг и електронизация в електрообзавеждането,програмна акредитация - докторска програма,дава акредитация,8.37,30.6.2022
52,"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,Обща психология,програмна акредитация - докторска програма,дава акредитация,9.1,20.10.2021
53,"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,Педагогическа и възрастова психология,програмна акредитация - докторска програма,дава акредитация,9.12,20.10.2021
54,"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,"Социална, организационна и консултативна психология",програмна акредитация - докторска програма,дава акредитация,8.74,20.10.2020
55,"Варненски свободен университет ""Черноризец Храбър""",3.3,Политически науки,Политология,програмна акредитация - докторска програма,дава акредитация,9.08,30.10.2019
56,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Административно право и адмнистративен процес,програмна акредитация - докторска програма,дава акредитация,9.12,30.1.2020
57,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Гражданско и семейно право,програмна акредитация - докторска програма,дава акредитация,8.83,27.10.2021
58,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Конституционно право,програмна акредитация - докторска програма,дава акредитация,8.81,27.10.2021
59,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Криминалистика,програмна акредитация - докторска програма,дава акредитация,9.02,27.10.2022
60,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Криминология,програмна акредитация - докторска програма,дава акредитация,9.11,27.10.2022
61,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Международно право и международни отношения,програмна акредитация - докторска програма,дава акредитация,9.12,27.10.2022
62,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Наказателен процес,програмна акредитация - докторска програма,дава акредитация,8.97,19.6.2019
63,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Наказателно право ,програмна акредитация - докторска програма,дава акредитация,9.28,30.1.2020
64,"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Теория на държавата и правото. Политически и правни учения.,програмна акредитация - докторска програма,дава акредитация,9.01,19.6.2020
65,"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,9.23,17.6.2021
66,"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Организация и управление извън сферата на материалното производство,програмна акредитация - докторска програма,дава акредитация,9.5,3.9.2020
67,"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Организация и управление на производството (индустрия),програмна акредитация - докторска програма,дава акредитация,9.4,3.9.2020
68,"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Социално управление,програмна акредитация - докторска програма,дава акредитация,9.08,3.9.2020
