university,cipher,prof,doc,proc,stat,akred,date
Аграрен университет - Пловдив,3.8,Икономика,Икономика и управление (селско стопанство),програмна акредитация - докторска програма,дава акредитация,9.22,18.3.2020
Аграрен университет - Пловдив,3.8,Икономика,Организация и управление на производството (селско стопанство и подотрасли),програмна акредитация - докторска програма,дава акредитация,9.32,18.3.2020
Аграрен университет - Пловдив,4.2,Химически науки,Неорганична химия,програмна акредитация - докторска програма,дава акредитация,9.13,15.5.2023
Аграрен университет - Пловдив,4.4,Науки за земята,Екология и опазване на екосистемите,програмна акредитация - докторска програма,дава акредитация,9.49,29.7.2019
Аграрен университет - Пловдив,4.6,Информатика и компютърни науки,Информатика,програмна акредитация - докторска програма,дава акредитация,8.36,30.5.2021
Аграрен университет - Пловдив,5.1,Машинно инженерство,Механизация и електрификация на растениевъдството,програмна акредитация - докторска програма,дава акредитация,няма информация,10.9.2016
Аграрен университет - Пловдив,5.13,Общо инженерство,Механизация и електрификация на растениевъдството,програмна акредитация - докторска програма,дава акредитация,9.26,10.11.2023
Аграрен университет - Пловдив,6.1,Растениевъдство,Агрохимия,програмна акредитация - докторска програма,дава акредитация,9.18,20.4.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Генетика,програмна акредитация - докторска програма,дава акредитация,9.36,21.12.2021
Аграрен университет - Пловдив,6.1,Растениевъдство,Декоративни растения,програмна акредитация - докторска програма,дава акредитация,9.1,18.5.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Зеленчукопроизводство,програмна акредитация - докторска програма,дава акредитация,9.35,18.5.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Лозарство,програмна акредитация - докторска програма,дава акредитация,9.31,18.5.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Мелиорации,програмна акредитация - докторска програма,дава акредитация,9.16,18.5.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Овощарство,програмна акредитация - докторска програма,дава акредитация,9.2,18.5.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Почвознание,програмна акредитация - докторска програма,дава акредитация,9.14,20.4.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Растениевъдство,програмна акредитация - докторска програма,дава акредитация,9.56,20.4.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Селекция и семе производство на културните растения,програмна акредитация - докторска програма,дава акредитация,9.34,20.4.2022
Аграрен университет - Пловдив,6.1,Растениевъдство,Физиология на растенията,програмна акредитация - докторска програма,дава акредитация,9.58,21.12.2021
Аграрен университет - Пловдив,6.1,Растениевъдство,"Фуражно производство, ливадарство",програмна акредитация - докторска програма,дава акредитация,9.29,20.4.2022
Аграрен университет - Пловдив,6.2,Растителна защита,Расти телна защита,програмна акредитация - докторска програма,дава акредитация,9.71,16.5.2019
Аграрен университет - Пловдив,6.2,Растителна защита,Растителна защита (хербология),програмна акредитация - докторска програма,дава акредитация,9.45,20.4.2022
Аграрен университет - Пловдив,6.3,Животновъдство,Зоохигиена,програмна акредитация - докторска програма,дава акредитация,8.04,29.9.2021
Аграрен университет - Пловдив,6.3,Животновъдство,Овцевъдство и козевъдство,програмна акредитация - докторска програма,дава акредитация,8.43,29.9.2021
Аграрен университет - Пловдив,6.3,Животновъдство,Птицевъдство,програмна акредитация - докторска програма,дава акредитация,9.1,29.9.2022
Аграрен университет - Пловдив,6.3,Животновъдство,"Развъждане на селскостопанските животни, биология и биотехника на размножаването",програмна акредитация - докторска програма,дава акредитация,8.9,29.9.2021
Аграрен университет - Пловдив,6.3,Животновъдство,Свиневъдство,програмна акредитация - докторска програма,дава акредитация,няма информация,5.7.2017
Аграрен университет - Пловдив,6.3,Животновъдство,Хранене на селскостопанските животни и технологи я на фуражите,програмна акредитация - докторска програма,дава акредитация,8.3,29.9.2021
"Академия за музикално, танцово и изобразително изкуство - Пловдив",1.3,Педагогика на обучението по ...,Методика на обучението по изобразително изкуство,програмна акредитация - докторска програма,дава акредитация,9.19,18.7.2023
"Академия за музикално, танцово и изобразително изкуство - Пловдив",1.3,Педагогика на обучението по ...,Методика на обучението по музика,програмна акредитация - докторска програма,дава акредитация,9.12,18.7.2023
"Академия за музикално, танцово и изобразително изкуство - Пловдив",1.3,Педагогика на обучението по ...,Методика на обучението по музика и изобразително изкуство,програмна акредитация - докторска програма,дава акредитация,няма информация,12.5.2017
"Академия за музикално, танцово и изобразително изкуство - Пловдив",8.2,Изобразително изкуство,"Приложни, изящни изкуства и дизайн",програмна акредитация - докторска програма,дава акредитация,8.27,21.12.2021
"Академия за музикално, танцово и изобразително изкуство - Пловдив",8.3,Музикално и танцово изкуство,Музикознание и музикално изкуство,програмна акредитация - докторска програма,дава акредитация,9.16,26.4.2023
"Академия за музикално, танцово и изобразително изкуство - Пловдив",8.3,Музикално и танцово изкуство,Хореография,програмна акредитация - докторска програма,дава акредитация,9.22,10.5.2023
Академия на Министерството на вътрешните работи - София,3.2,Психология,Психология на дейността,програмна акредитация - докторска програма,дава акредитация,9.51,10.3.2022
Академия на Министерството на вътрешните работи - София,3.6,Право,Административно право и административен процес ,програмна акредитация - докторска програма,дава акредитация,9.08,23.7.2021
Академия на Министерството на вътрешните работи - София,3.6,Право,Криминалистика,програмна акредитация - докторска програма,дава акредитация,9.22,23.6.2022
Академия на Министерството на вътрешните работи - София,3.6,Право,Криминология,програмна акредитация - докторска програма,дава акредитация,9.26,23.6.2022
Академия на Министерството на вътрешните работи - София,3.6,Право,Наказателен процес,програмна акредитация - докторска програма,дава акредитация,9.27,23.6.2022
Академия на Министерството на вътрешните работи - София,3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,9.23,23.6.2022
Академия на Министерството на вътрешните работи - София,5.7,"Архитектура, строителство и геодезия",Защита на населението и народното стопанство в критични ситуации,програмна акредитация - докторска програма,дава акредитация,9.13,15.9.2023
Академия на Министерството на вътрешните работи - София,5.7,"Архитектура, строителство и геодезия",Техника на безопасността на труда и противопожарна техника,програмна акредитация - докторска програма,дава акредитация,9.22,15.9.2023
Академия на Министерството на вътрешните работи - София,9.1,Национална сигурност,Организация и управление извън сферата на материалното производство (национална сигурност),програмна акредитация - докторска програма,дава акредитация,9.47,10.3.2022
Бургаски свободен университет,1.2,Педагогика,Предучилищна и начална училищна педагогика,програмна акредитация - докторска програма,дава акредитация,8.71,12.6.2023
Бургаски свободен университет,3.2,Психология,Педагогическа и възрастова психология,програмна акредитация - докторска програма,дава акредитация,8.68,8.11.2022
Бургаски свободен университет,3.2,Психология,Социална психология,програмна акредитация - докторска програма,дава акредитация,8.58,8.11.2022
Бургаски свободен университет,3.4,Социални дейности,Организация и управление на социалните дейности,програмна акредитация - докторска програма,дава акредитация,9.32,18.12.2019
Бургаски свободен университет,3.6,Право,Граждански процес,програмна акредитация - докторска програма,дава акредитация,8.44,17.9.2020
Бургаски свободен университет,3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,8.51,17.9.2020
Бургаски свободен университет,3.8,Икономика,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,8.62,10.2.2021
Бургаски свободен университет,4.6,Информатика и компютърни науки,Информатика,програмна акредитация - докторска програма,дава акредитация,9.17,7.6.2018
Бургаски свободен университет,5.2,"Електротехника, електроника и автоматика",Инженеринг и електронизация в електрообзавеждането,програмна акредитация - докторска програма,дава акредитация,8.37,30.6.2022
"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,Обща психология,програмна акредитация - докторска програма,дава акредитация,9.1,20.10.2021
"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,Педагогическа и възрастова психология,програмна акредитация - докторска програма,дава акредитация,9.12,20.10.2021
"Варненски свободен университет ""Черноризец Храбър""",3.2,Психология,"Социална, организационна и консултативна психология",програмна акредитация - докторска програма,дава акредитация,8.74,20.10.2020
"Варненски свободен университет ""Черноризец Храбър""",3.3,Политически науки,Политология,програмна акредитация - докторска програма,дава акредитация,9.08,30.10.2019
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Административно право и адмнистративен процес,програмна акредитация - докторска програма,дава акредитация,9.12,30.1.2020
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Гражданско и семейно право,програмна акредитация - докторска програма,дава акредитация,8.83,27.10.2021
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Конституционно право,програмна акредитация - докторска програма,дава акредитация,8.81,27.10.2021
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Криминалистика,програмна акредитация - докторска програма,дава акредитация,9.02,27.10.2022
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Криминология,програмна акредитация - докторска програма,дава акредитация,9.11,27.10.2022
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Международно право и международни отношения,програмна акредитация - докторска програма,дава акредитация,9.12,27.10.2022
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Наказателен процес,програмна акредитация - докторска програма,дава акредитация,8.97,19.6.2019
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Наказателно право ,програмна акредитация - докторска програма,дава акредитация,9.28,30.1.2020
"Варненски свободен университет ""Черноризец Храбър""",3.6,Право,Теория на държавата и правото. Политически и правни учения.,програмна акредитация - докторска програма,дава акредитация,9.01,19.6.2020
"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,9.23,17.6.2021
"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Организация и управление извън сферата на материалното производство,програмна акредитация - докторска програма,дава акредитация,9.5,3.9.2020
"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Организация и управление на производството (индустрия),програмна акредитация - докторска програма,дава акредитация,9.4,3.9.2020
"Варненски свободен университет ""Черноризец Храбър""",3.7,Администрация и управление,Социално управление,програмна акредитация - докторска програма,дава акредитация,9.08,3.9.2020
"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,Политическа икономия,програмна акредитация - докторска програма,дава акредитация,8.76,17.6.2020
"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,Световно стопанство и МИО,програмна акредитация - докторска програма,дава акредитация,9.36,17.6.2021
"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,"Счетоводна отчетност, контрол и анализ на стопанската дейност",програмна акредитация - докторска програма,дава акредитация,8.38,17.6.2020
"Варненски свободен университет ""Черноризец Храбър""",4.6,Информатика и компютърни науки,"Информационни системи и технологии, информатика и компютърни науки",програмна акредитация - докторска програма,дава акредитация,8.13,12.1.2020
"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Архитектура на сгради, конструкции, съоръжения и детайли",програмна акредитация - докторска програма,дава акредитация,8.76,28.11.2018
"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Синтез на архитектурата с другите изкуства, интериор и архитектурен дизайн",програмна акредитация - докторска програма,дава акредитация,8.77,3.12.2020
"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия",Строителни конструкции,програмна акредитация - докторска програма,дава акредитация,9.21,14.10.2022
"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Строителни материали, изделия и технологии за производството им",програмна акредитация - докторска програма,дава акредитация,8.69,14.10.2021
"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия",Териториално и ландшафтно устройство и градустройство,програмна акредитация - докторска програма,дава акредитация,8.75,28.11.2018
"Варненски свободен университет ""Черноризец Храбър""",8.3,Музикално и танцово изкуство,Хореография,програмна акредитация - докторска програма,дава акредитация,8.64,12.3.2019
"Варненски свободен университет ""Черноризец Храбър""",9.1,Национална сигурност,Управление в сферата на сигурността и обществения ред,програмна акредитация - докторска програма,дава акредитация,9.3,2.7.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,История на педагогиката и българското образование,програмна акредитация - докторска програма,дава акредитация,8.69,12.3.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Предучилищна педагогика,програмна акредитация - докторска програма,дава акредитация,9.1,12.3.2025
"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Социална педагогика,програмна акредитация - докторска програма,дава акредитация,9.2,12.3.2025
"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Специална педагогика,програмна акредитация - докторска програма,дава акредитация,8.32,27.9.2021
"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Теория на възпитанието и дидактика,програмна акредитация - докторска програма,дава акредитация,9.29,12.3.2025
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по (български език и литература, математика, бит и техника, изобразително изкуство)",програмна акредитация - докторска програма,дава акредитация,няма информация,27.10.2017
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по (чужд език, човек и общество, човек и природа, география)",програмна акредитация - докторска програма,дава акредитация,няма информация,27.10.2016
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по български език и литература,програмна акредитация - докторска програма,дава акредитация,9.49,11.7.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по география,програмна акредитация - докторска програма,дава акредитация,9.42,25.10.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по изобразително изкуство,програмна акредитация - докторска програма,дава акредитация,9.4,11.7.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по информатика и информационни технологии,програмна акредитация - докторска програма,дава акредитация,8.88,11.7.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по история,програмна акредитация - докторска програма,дава акредитация,8.8,30.1.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по математика,програмна акредитация - докторска програма,дава акредитация,9.43,11.7.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по музика,програмна акредитация - докторска програма,дава акредитация,9.34,30.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по технологии и предприемачество,програмна акредитация - докторска програма,дава акредитация,9.13,11.7.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по човек и общество, човек и природа; Педагогика на взаимодействието ""дете – среда""",програмна акредитация - докторска програма,дава акредитация,9.28,25.10.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по чужд език,програмна акредитация - докторска програма,дава акредитация,9.17,25.10.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Теория и методика на физическото възпитание и спортната тренировка,програмна акредитация - докторска програма,дава акредитация,9.32,30.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Българска литература,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Български език,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Германски езици,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Литература на народите на Европа, Америка, Африка, Азия и Австралия",програмна акредитация - докторска програма,дава акредитация,9.03,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Общо и сравнително езикознание/вкл.Съпоставително и балканско eзикознание, структурна лингвистика, приложна лингвистика. Социолингвистика, психолингвистика, математическа лингвистика, етнолингвистика",програмна акредитация - докторска програма,дава акредитация,9.18,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Руска литература и литература на народите на Русия,програмна акредитация - докторска програма,дава акредитация,9.13,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Славянски езици,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Теория и практика на превода,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Теория на литературата,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Фолклористика /вкл.Български фолклор, славянски фолклор/",програмна акредитация - докторска програма,дава акредитация,9.02,17.9.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,"Археология (вкл. нумизматика, епиграфика и палеография)",програмна акредитация - докторска програма,дава акредитация,9.5,12.9.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,История на България,програмна акредитация - докторска програма,дава акредитация,9.49,12.9.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Културно-историческо наследство,програмна акредитация - докторска програма,дава акредитация,8.78,14.12.2021
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Нова и най-нова обща история,програмна акредитация - докторска програма,дава акредитация,9.43,12.9.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Средновековна обща история,програмна акредитация - докторска програма,дава акредитация,9.48,12.9.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Стара история,програмна акредитация - докторска програма,дава акредитация,9.3,12.9.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,История на философията,програмна акредитация - докторска програма,дава акредитация,9.01,11.4.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Логика,програмна акредитация - докторска програма,дава акредитация,9.14,6.11.2019
"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Онтология,програмна акредитация - докторска програма,дава акредитация,8.42,11.4.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Философия на правото и политиката,програмна акредитация - докторска програма,дава акредитация,9.12,6.11.2019
"Великотърновски университет ""Св. св. Кирил и Методий""",2.4,Религия и теология,Теология,програмна акредитация - докторска програма,дава акредитация,9.21,31.5.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",3.1,"Социология, антропология и науки за културата",Етнология,програмна акредитация - докторска програма,дава акредитация,9.18,13.3.2025
"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Обща психология ,програмна акредитация - докторска програма,дава акредитация,9.65,16.9.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Педагогическа и възрастова психология ,програмна акредитация - докторска програма,дава акредитация,9.5,16.9.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Социална психология  ,програмна акредитация - докторска програма,дава акредитация,9.55,16.9.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.3,Политически науки,Политология,програмна акредитация - докторска програма,дава акредитация,9.53,16.9.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.4,Социални дейности,Организация и управление извън сферата на материалното производство (Социални дейности),програмна акредитация - докторска програма,дава акредитация,8.58,27.9.2021
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Административно право и административен процес,програмна акредитация - докторска програма,дава акредитация,8.8,12.1.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Граждански процес,програмна акредитация - докторска програма,дава акредитация,8.18,17.10.2018
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Гражданско и семейно право,програмна акредитация - докторска програма,дава акредитация,9,25.10.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Гражданско процесуално право,програмна акредитация - докторска програма,дава акредитация,9.08,25.10.2024
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,История на правото,програмна акредитация - докторска програма,дава акредитация,8.98,25.10.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Конституционно право,програмна акредитация - докторска програма,дава акредитация,8.94,12.1.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Международно право и международни отношения,програмна акредитация - докторска програма,дава акредитация,9,7.1.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,9.05,12.1.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Наказателно процесуално право (Наказателен процес),програмна акредитация - докторска програма,дава акредитация,9.05,7.1.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Теория на държавата и правото,програмна акредитация - докторска програма,дава акредитация,8.98,12.1.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Трудово право и обществено осигуряване,програмна акредитация - докторска програма,дава акредитация,8.58,28.9.2022
"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Финансово право,програмна акредитация - докторска програма,дава акредитация,9.04,12.1.2023
"Великотърновски университет ""Св. св. Кирил и Методий""",3.7,Администрация и управление,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,8.96,10.12.2019
"Великотърновски университет ""Св. св. Кирил и Методий""",3.8,Икономика,Политическа икономия,програмна акредитация - докторска програма,дава акредитация,8.19,2.7.2020
"Великотърновски университет ""Св. св. Кирил и Методий""",3.8,Икономика,"Счетоводна отчетност, контрол и анализ на стопанската дейност",програмна акредитация - докторска програма,дава акредитация,8.46,25.5.2021
"Великотърновски университет ""Св. св. Кирил и Методий""",3.8,Икономика,"Финанси, парично обръщение, кредит и застраховка (финанси)",програмна акредитация - докторска програма,дава акредитация,8.2,25.5.2021
